file_name,duration,tempo,onset_strength,chroma_stft_mean,chroma_stft_std,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,mfcc_mean,mfcc_std,tonnetz_mean,tonnetz_std
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial).mp3",301.89425,140.625,1.3749352,0.43736434,0.31097943,0.29300553,0.14449862,2445.130453905376,1178.635394291729,3063.8453092581644,870.9851673821827,5209.326584196022,2740.92788171939,0.03997438503095962,0.032317855901496745,2.0270858,51.98585,0.014905447587753596,0.09153984238861448
"Ariana Grande, Social House - boyfriend (Official Video).mp3",221.12362811791382,93.96306818181819,1.1594484,0.5083786,0.29745007,0.18854207,0.09500998,2646.6791917563587,1552.6118307510014,3114.164033387208,1345.0570854099424,6006.297374586549,3596.8722719674297,0.0545537847167533,0.04754370117338431,2.3218946,55.560623,-0.024655331779320205,0.11596323678534157
Bad Bunny - Callaita (LETRA   LYRICS).mp3,253.59675,117.1875,1.0787423,0.40763408,0.31111115,0.23729783,0.13828546,1866.5354093536268,899.8815240172181,2291.233836021439,888.1428324169468,3801.021293375394,2129.7895329568346,0.03539711487907466,0.024116650668838016,-1.3554083,61.00032,0.0068802719044986005,0.14023242502349323
Billie Eilish - bad guy (Lyrics).mp3,194.15366666666668,133.92857142857142,1.2809014,0.59650123,0.29343542,0.28728646,0.18356313,1907.8908896007417,1890.8088088594761,2507.9634375774676,1268.5660416249634,3766.07481320734,3790.037773762397,0.03629414221308098,0.0663424326673154,1.6904625,70.49911,0.03524253090801341,0.11724630239009472
"DJ Snake, J. Balvin, Tyga - Loco Contigo ( Letra   Lyrics).mp3",185.35329166666668,127.8409090909091,1.280404,0.46069708,0.29870504,0.25851047,0.120565444,2274.98780630417,1087.53219865477,2979.99283463407,728.4157836570506,4974.756053260056,2349.829578882962,0.03518173605016689,0.03480773712850772,2.1220193,55.090187,-0.042484754234140894,0.15189690290123745
Ed Sheeran & Justin Bieber - I Don't Care [Official Lyric Video].mp3,217.29235416666666,137.1951219512195,1.3226854,0.420961,0.3148558,0.22808462,0.12580688,3188.5559388792753,1232.9834665244832,3436.8992855408046,733.3112514251227,6950.026384252896,2533.1645354344614,0.05832734286796829,0.04466099820868495,-1.855,50.181446,-0.02470931890325812,0.08865879451544657
"Ed Sheeran, Khalid – Beautiful People (Lyrics).mp3",209.21179166666667,93.75,1.0714159,0.4643293,0.3175451,0.22251345,0.14419283,2339.6416627782737,1386.2066704220338,2849.2145291797897,1028.0252227843228,4954.334276537167,3030.4299578410214,0.042987246633463344,0.044468477922938905,0.10943413,57.681522,0.006291541371482617,0.10409491170897285
Lewis Capaldi - Someone You Loved (Lyrics).mp3,182.24183333333335,110.29411764705883,0.9751489,0.33088994,0.30386573,0.21255916,0.0962775,2039.340203424722,1294.8094840988222,2440.711857772554,966.4560265530864,4074.093464678684,2705.275319946142,0.04469953927923446,0.040263156213903764,-0.28641203,63.546047,-0.06754919491999407,0.18241354813035085
Lil Nas X - Old Town Road (Lyrics) ft. Billy Ray Cyrus.mp3,157.21070833333334,137.1951219512195,1.1730114,0.4980763,0.32393724,0.25233898,0.16723654,2655.8682125201235,1481.587744278041,3001.7491415742734,1093.8194555649902,5552.402427233869,3138.099549279449,0.05261219701981139,0.04609172577261248,-1.7291974,59.05093,-0.041435479410708846,0.17596803934217997
"Lil Tecca, Juice WRLD - Ransom (Clean - Lyrics).mp3",170.806,119.68085106382979,1.3109713,0.5108379,0.30765155,0.18654487,0.11781749,2545.3457172017993,1482.7546529994604,2980.3800756064293,904.5777595812816,5162.208165511427,3064.657077995187,0.04833831920507056,0.05308876676604902,-1.0848366,61.466137,0.007567045087898382,0.16081862610540013
Post Malone - Goodbyes (Clean - Lyrics) ft. Young Thug.mp3,176.47166666666666,148.02631578947367,1.1155268,0.41241997,0.3030161,0.2947171,0.15401322,2659.883578578618,1727.5691408482676,2962.133353555257,1066.1692658458876,5418.414267905711,3251.4363423454024,0.06093862146796615,0.07612407486421265,0.69108593,54.4173,-0.00022477228470903877,0.15574993516525987
Sam Smith - How Do You Sleep (Lyrics).mp3,202.28064583333332,110.29411764705883,1.2245114,0.43410861,0.30887237,0.24503791,0.11333495,2792.870763972244,1280.773275595022,3138.9781607764785,827.3648378386905,5857.021857203122,2669.6986514497844,0.05439178653468414,0.03841269077061219,1.6708724,53.43264,-0.015984186376134378,0.1394535440857817
"Sech, Anuel AA, Ozuna, Nicky Jam - Otro Trago REMIX (Letra) ft. Darell.mp3",287.01025,175.78125,1.3539255,0.43578896,0.321042,0.27492487,0.15032695,2638.4786251991864,1095.6198287078319,3195.6593812821616,832.1442145230975,5802.94051722536,2692.9130370211597,0.04420819827630259,0.034350351093755,0.5306197,50.302277,0.014809375050870743,0.11554297636380022
"Shawn Mendes, Camila Cabello - Señorita (Lyrics) Letra.mp3",191.01895833333333,117.1875,1.128134,0.46944147,0.29820895,0.24709654,0.101667166,2787.2719840871805,1271.9852959041093,3204.806121122139,762.7298069418293,6294.018981378078,2508.661765126475,0.04884017594156569,0.04026003278382855,3.8327367,50.599567,0.04747689264484996,0.13836962575797632
